curp,nombre,apellidoPaterno,apellidoMaterno,fecha
HJEW627087FODTCL63,Lidia,Rackstraw,Blacktin,1936-08-16
KHXX868291HUFAHT61,Estella,Binestead,Martynikhin,1964-07-29
TTQU825569FAQIZX02,Rora,Gutowska,Fazackerley,1960-10-14
XSON186555HBXUPW62,Walt,Doorly,Stammer,1950-02-19
FFKA317781HHBIDI41,Jarret,Dellatorre,Mazzei,1989-09-07
KYNK056399HZYNIV60,Nikolas,Kobpac,Gove,1961-12-20
QZEW612167HVJQBH98,Loutitia,Bettington,Kale,2001-05-03
YQXD143741FZGFJG85,Arlena,Kells,Sams,1924-11-10
YDTH788603FQMMBE38,Rooney,Kelberer,Braunle,1937-11-10
RNXV012300FLSORE15,Adrianna,Brill,Isaq,1975-06-09
KQHB195458HKGLAG77,Judye,Shapiro,Riden,1938-05-20
JSZD377338HZXDAF38,Cherin,Northey,Santer,1976-03-24
PCYK536602HQDMQW56,Janeta,Gayforth,Landsbury,1952-09-30
HMJV963563HZXIWD17,Brit,Heritege,Wigfall,1951-11-26
TVCL463943FOMETA84,Arty,Straine,Tretter,1973-03-07
NMGX203937FZDEIE93,Kori,Wormald,Bartels-Ellis,1971-01-09
CLAS267237HPVGLO73,Emmerich,Beaves,Mohamed,1934-10-21
RXHL819401HGMJED17,Irv,Piwall,Fontin,1988-06-22
IZRR518066FSTOCD13,Elliot,Shadfourth,Attrey,1952-03-16
GSOI836493FOQGQP39,Helene,Drowsfield,Hawket,1925-01-14
FJQM466772FRPXLD24,Gilles,Barkway,Simms,1976-11-12
LILN933710FFZMAS29,Chevy,Lanston,Santostefano.,1957-08-15
AUNU171510FJVHCJ50,Kennedy,Hrihorovich,Janovsky,1953-01-05
HLYG243951FESZVT52,Lorianne,Alexsandrov,Dahlgren,1934-08-06
VVRZ017068FUDBBW90,Padget,Piercey,Randal,1969-01-21
GNEC956832FHUWCC56,Madonna,Howe,Caldeiro,1934-08-29
DWUS994333FULPBA28,Rosaleen,Bridle,Wollaston,1944-03-13
PKVW983539HZNMNP50,Agnese,Will,Ellings,1979-04-25
GKHG656202HMCYYK94,Rosene,McPaik,Rodrig,1956-05-02
XILL053263HGPSTO46,Bren,Samwayes,O'Lunny,2000-07-30
QQHK514114FDGBOO12,Onofredo,McGrowther,Rewcassell,1955-04-18
VYJZ453810HDCQDQ82,Rianon,Arnaudin,Fallowes,1999-11-26
USTP255159FLDNZP38,Ronny,Dumberell,Branni,1971-01-02
SIOY444060FOYAJA03,Hanni,Dandie,Hollier,1952-09-25
AHWO112690FMGGYY76,Kaitlin,Eeles,Danielkiewicz,1992-04-21
YGJX364677FFVWCL16,Zeke,Scranedge,Dunkerton,1926-04-23
SAGS367074FXNTLN69,Olenolin,Matthews,Whild,1984-08-28
SECK601487HZRAJC12,Gratia,Creedland,Nye,1976-01-20
TXRM961594FOZOLX24,Heall,Aireton,Heather,1949-05-21
ETBY160914FUPQKD96,Lura,Paulsen,Mothersdale,1974-02-19
ZLJE263756FAPFLU54,Stephanie,Dowse,Colbridge,1973-07-20
PYTE859033HIXZOQ57,Sky,Gerald,Renwick,1940-10-17
VLFO890261FKITXA27,Alfreda,Delgado,Mart,2001-07-28
ADQL812042HFOFES00,Reinhold,Bartrop,Bock,2001-11-26
GARV451512FNUTUB06,Ina,Breston,Reedyhough,1961-10-17
BHFA526898HLPMFR30,Gabey,Carhart,Tohill,1964-02-18
TLWV850278HQRWNB72,Alric,Ennals,Chellingworth,1961-04-11
FDXU623606HLFABX86,Cinnamon,Whate,Hawking,1938-01-08
LWZP645235FIUFJO57,Katie,Northleigh,Lammiman,1989-08-29
JNRE069046HDMMYR78,Ivory,Tumielli,Blacklidge,1942-05-22
UFDM819692FSOOUL14,Stan,Lakes,Bollans,1927-12-08
HPBM333526FXIYSI47,Murielle,Saye,MacEvilly,2003-12-07
ZCHX233664HSFCOJ16,Lorie,Dowdall,Forsey,1999-02-20
AKVH327173FWMHCH22,Isahella,Bemment,Ferrie,1969-07-27
FOHF543469FJGJTE43,Jamill,Whitecross,Godsil,1989-09-12
ZCEK279024FROTFA87,Merna,Ashforth,Vassman,1997-10-27
EZQR023594FKVIBW56,Zaria,Alentyev,Lyne,1981-01-09
VGOR434608HNYRRV27,Donnajean,Ivanisov,Gelardi,1933-10-30
WCGB933426FRCPPW11,Blondell,Andresen,Blackhall,1926-11-01
LOTQ429055HQGYQW35,Lamar,Dorrell,McGarry,1956-01-07
DUAS119888HFNWYY46,Tailor,Cremins,Francois,1961-02-06
CRHM265351HUVSBD75,Armstrong,Fetteplace,Maybey,1946-09-20
KNHY518882FNPHTY87,Wilmar,Costock,Lawrenz,1953-03-04
WXWA301341FIGSPD67,Dottie,Fitzsimon,Straine,2002-06-26
KALI019143FPROTP57,Deeyn,Burgan,Whellans,1953-06-02
WTBC615978HEIREC55,Sheffield,Branscombe,Cavie,1966-07-18
SNMF616843HWOATL82,Hatti,Ribey,Hurst,1970-08-28
RROS507008FEEKTW38,Hobey,Petters,Garbutt,1999-09-21
DBKD511262HHWTJN46,Mycah,Poad,Colkett,1954-07-21
NRQS389515HNMBMC75,Elyn,Mustin,Randleson,1985-05-22
TDBC474619HNOBIF56,Demetre,Mertgen,Stoneham,1984-03-17
NCYY513482FKIRDJ54,Kally,Van den Dael,Cersey,1972-02-14
HCRD751268FUNCCR35,Berni,Tweedle,Berrey,1968-12-21
LRJJ049017HOXTIJ20,Nessi,McKenny,Burborough,1996-06-30
IUPK357715FMOTQS70,Angelina,Cicetti,Fallowes,1947-06-05
QMFI730652FNIPJC09,Matthaeus,Gaw,Lafee,1941-01-08
IHZY913918HIPYBO95,Gayla,Garbert,Baldick,1972-01-07
ENKD813295FMABPI76,Anatole,Frankham,Ennion,1953-12-24
VMTV353608FTIEHG35,Tommy,Martinat,Nettles,1925-01-15
NYIP523423FSBGIZ39,Enos,Woller,Clutterham,1923-03-09
CQSB846128HYPVSE53,Domenico,Morshead,Preskett,1970-03-09
MZQH498686HGXPPE67,Phillipe,Bodiam,Nezey,1938-08-17
ESSW351600FVJPRC50,Manon,Koubu,Rodda,1998-02-06
HGWC246359HVEKRY46,Rufe,Haney`,Blackford,1979-01-22
HFWK341586FRIEHM62,Conant,Hobgen,Mauro,1965-10-30
DPKE451525HVKNIA41,Leif,Bartlett,Giordano,1981-04-10
FAXI564920FHYOBU37,Gabriell,Matzaitis,Hanigan,1990-11-17
LAHH142772FNXBBR98,Goober,Upstell,Grunguer,1951-12-28
RDGP763710FWGFMN29,Gussie,Bloy,Itzakson,1939-04-30
GJHJ027597FYICBE32,Eugene,MacQuarrie,Scawton,1955-06-07
WIJD079240HIBVYT92,Oliver,McMurty,Dusey,1937-02-17
