curp,nombre,aPaterno,aMaterno,fechaNacimiento
WNZS774150FWHAKO72,Deerdre,Hinkens,Petrol,1993-04-09
QOAX489167HEOUHS75,Ade,Bernardotte,Rattenbury,1949-07-20
THNA216933FGDMUW40,Clerissa,Maleney,Pien,1953-12-28
UIXF413717HCUMQZ61,Barrie,Haldane,Clynter,1951-05-03
IRDT942283HCUKAK89,Agosto,Vockins,Woodsford,2000-08-15
FEHM934227HAYTZG56,Johnna,Tolliday,Novotni,1924-07-02
KDTW906293HTBTLD56,Ahmed,Bastard,Daws,1992-10-20
AQHO978348HFDDNU69,Pavia,Diggins,Sorrel,1931-06-07
KHTO593434HFBXJT37,Flemming,Toten,Plom,1929-08-17
TRGN346462HDKJSY16,Myranda,Farnell,Ratter,1939-07-09
LXJH171498FKMKRS24,Xena,Trevenu,Posselt,2003-03-16
SVLI714785HOHQLG66,Andris,Boobier,Newhouse,1937-03-05
PHDE838001HQKBVN54,Jazmin,Jarrelt,Scanlan,1984-02-01
AZQO249439FMTKSW39,Aluin,Duley,Balffye,1950-04-23
TZXY369630FBTTKG11,Leilah,Brocket,Bruneau,1937-04-24
ALOR749783FOPMGR48,Geordie,Tolmie,Strauss,1995-02-20
YCPX293261HWDKLK38,Emmy,Clue,Hofer,1969-08-29
DATM595317FXTPVK64,Kalvin,Wissbey,Ferreiro,1982-10-22
QSQK278446HMFPGJ32,Clarine,Silby,Dashkov,1991-06-24
DPEA222380HKIGGW97,Kirsti,Rew,Skeldon,1932-07-04
ZIGR227585FCBCZY59,Chan,Kalkofer,Delong,1969-05-18
YMHA703716FDCQTL38,Gav,Beggin,Branca,1929-04-17
YQAP024400HSYJBM92,Inigo,Hughes,Jerschke,1973-10-05
DTAW217035FNMHRD42,Jdavie,Kevern,Burrill,1952-01-21
AKNA945264FOYNPA35,Konstanze,Hulatt,Cockson,1938-06-27
FMOV897912FQDDBW39,Lyn,Elmer,Miles,1971-06-27
IDXL734135FWYNHS98,Chadd,Stallen,Kearney,2004-02-07
WGXJ678218HESERX24,Chrotoem,Black,Loadwick,1972-08-05
RCVZ726294FXTPYQ83,Zane,Savile,Ballay,1938-12-12
EOMH131121FRTNNB35,Shelagh,Sample,Keaveny,1956-08-22
BBDY394153FOMKQU44,Faber,Scherer,Neate,1954-08-24
ZJSK211655HWTNZX80,Kermit,Hamerton,Schafer,1928-04-22
UJUW754982FBIFDA10,Glynis,Jelfs,Norster,1992-03-23
FOGT852627HHYDXR95,Raffarty,Bulled,Durham,1958-10-09
KGBU143794HPYBQD45,Donall,Edmondson,Asals,1985-07-03
DXEC608571HBOXDS18,Winifield,Stickford,Brookbank,1971-01-29
GZTK040939FXJULL72,Adamo,Pember,Normansell,1935-08-30
XBVM827754FDMWCJ40,Jesse,Lindwasser,Hanvey,2000-05-28
CTQQ233638HMWDLU07,Emmy,Mylan,Wass,1929-06-17
NXVK585419HZXYGP37,Hunfredo,Burds,Cropton,1936-11-19
PSQM702053HEFEKX52,Marthe,Leethem,Benbough,1988-02-27
NQFK605397FLERIK27,Moe,Poser,Wickrath,1941-05-21
EKKC420353FRRFJJ75,Boris,Fernehough,Meneghelli,1934-11-06
BWPO572638HNPFVZ47,Shirl,Lathy,Thake,1987-01-17
QDMI271645FCFTQK47,Estella,Noli,Barrar,1952-10-07
FONE226882FRLPTX92,Cathleen,Jahndel,Bahde,1944-07-31
WEKI132208HZVPFE72,Britta,Kinvig,Mation,2001-11-20
JLYZ497306HUVEMB29,Joyann,Acton,Owers,1942-02-17
GWVB642974HOMZYV12,Mallorie,Quakley,Argent,1999-04-29
GXAM127793HVHOEP58,Jenelle,Eberz,Wrightim,1984-11-02
