curp,idViaje,lugar,fecha
WMTB809501HBNHSB35,1,Mexico,2022-12-08
MWUR184467HHMXUM21,2,Egipto,2023-07-27
KGRI548972HKVLFP60,3,India,2023-05-29
JUXZ576177FZJLVP57,4,Egipto,2023-09-05
RBKM489995HIREVW49,5,Peru,2022-10-17
ZCEK279024FROTFA87,6,Peru,2023-05-02
HRNF134364FGOQVU65,7,Grecia,2023-01-05
NRXR848537FFWPVO42,8,Egipto,2023-08-21
ZLVO461484FHLLEY44,9,Peru,2023-07-31
GNEC956832FHUWCC56,10,Jordania,2022-12-31
DHVR589313HCXTVR11,11,Jordania,2022-11-21
LHTU717959HXHVGF26,12,Mexico,2023-02-11
ZCEK279024FROTFA87,13,India,2022-11-24
HZNZ393316HWJEXX11,14,Jordania,2023-02-21
NRQS389515HNMBMC75,15,Peru,2023-07-16
IAYC703682HZGCIW30,16,Egipto,2023-08-26
OWPB090629FYSRGK29,17,Mexico,2023-07-21
HMJV963563HZXIWD17,18,Egipto,2023-08-05
HMDN874119HPEAGJ52,19,Jordania,2023-03-02
UKEH289152FCGDXX26,20,Peru,2022-12-09
JKIP108967FPIHIW69,21,Mexico,2023-04-25
UOPH882343HSKFHI29,22,India,2023-09-08
MBJX418510HZKXJH25,23,Egipto,2023-03-23
NNOD854740HIBJVM63,24,Egipto,2023-01-15
ONDB312735FLGYZQ55,25,Peru,2023-07-02
YLUB788947FYZQKD65,26,Egipto,2023-03-25
LMSR866204FSLTOR58,27,Peru,2023-05-10
XUOF842416FOHPLP32,28,India,2022-12-21
IHZY913918HIPYBO95,29,Egipto,2023-07-15
UFDM819692FSOOUL14,30,Mexico,2023-01-28
EOUO534975FYZTQK82,31,Mexico,2023-03-29
OSEP673576FOJOJK40,32,India,2023-01-03
LTYR193258HEXUMJ88,33,Peru,2023-02-01
DPKE451525HVKNIA41,34,Egipto,2022-12-03
JHNS514588FDEHZM04,35,Peru,2022-10-22
XYAM212300HZOESP42,36,Jordania,2023-01-03
QHYG064082HFCVNL96,37,Jordania,2023-08-16
PCOW778321HKIDZE29,38,Mexico,2023-08-01
NTXG695227HVSLJG67,39,Peru,2023-05-09
AKCW523194HVNXTK64,40,India,2023-07-04
KMVB459817HRKWVW17,41,Grecia,2022-09-27
PLLU619743HYCAVN51,42,Peru,2022-11-25
NNZH228249HJBMAU02,43,Egipto,2023-06-17
FLGC830619HRCHKC74,44,India,2023-04-14
JVKQ992415FRMLEK68,45,Egipto,2023-06-10
KKWR696477HFFOLL29,46,India,2023-06-24
ULJC810277HTPFOT70,47,Mexico,2023-05-16
LJPD562431HHOPIF21,48,Peru,2023-01-07
