curp,idViaje,destino,fecha
YCPX293261HWDKLK38,1,Francia,2023-07-20
KHTO593434HFBXJT37,2,EUA,2023-06-05
BWPO572638HNPFVZ47,3,Francia,2023-05-31
QOAX489167HEOUHS75,4,EUA,2023-08-16
YMHA703716FDCQTL38,5,Malasia,2023-01-12
IDXL734135FWYNHS98,6,Malasia,2023-06-06
PSQM702053HEFEKX52,7,Japon,2023-08-12
KHTO593434HFBXJT37,8,Japon,2023-06-21
FEHM934227HAYTZG56,9,Malasia,2022-09-17
FMOV897912FQDDBW39,10,EUA,2023-02-24
TRGN346462HDKJSY16,11,EUA,2022-12-01
IRDT942283HCUKAK89,12,Francia,2022-11-11
BBDY394153FOMKQU44,13,Francia,2023-04-07
KHTO593434HFBXJT37,14,Japon,2022-11-09
DATM595317FXTPVK64,15,EUA,2023-06-17
CTQQ233638HMWDLU07,16,Malasia,2023-07-28
FOGT852627HHYDXR95,17,EUA,2023-02-06
YCPX293261HWDKLK38,18,EUA,2023-07-17
AZQO249439FMTKSW39,19,Francia,2022-10-11
ZIGR227585FCBCZY59,20,Japon,2022-12-23
PHDE838001HQKBVN54,21,Japon,2023-03-15
EKKC420353FRRFJJ75,22,Japon,2023-05-01
NXVK585419HZXYGP37,23,EUA,2023-08-13
AKNA945264FOYNPA35,24,EUA,2023-05-22
RCVZ726294FXTPYQ83,25,Japon,2023-07-06
IRDT942283HCUKAK89,26,EUA,2022-11-01
PHDE838001HQKBVN54,27,Japon,2023-07-26
RCVZ726294FXTPYQ83,28,Malasia,2023-06-24
PHDE838001HQKBVN54,29,Malasia,2023-09-04
WNZS774150FWHAKO72,30,Francia,2023-09-03
QDMI271645FCFTQK47,31,Malasia,2023-02-16
KDTW906293HTBTLD56,32,Japon,2023-08-05
QOAX489167HEOUHS75,33,EUA,2022-12-04
DPEA222380HKIGGW97,34,Malasia,2023-05-30
EKKC420353FRRFJJ75,35,Japon,2022-09-24
GWVB642974HOMZYV12,36,Malasia,2022-11-17
AZQO249439FMTKSW39,37,Francia,2023-08-04
WNZS774150FWHAKO72,38,Japon,2023-08-14
GXAM127793HVHOEP58,39,EUA,2022-09-26
IDXL734135FWYNHS98,40,EUA,2022-10-19
AQHO978348HFDDNU69,41,EUA,2022-11-09
PSQM702053HEFEKX52,42,Japon,2022-10-16
KDTW906293HTBTLD56,43,Malasia,2023-03-20
KHTO593434HFBXJT37,44,Francia,2022-09-13
GXAM127793HVHOEP58,45,EUA,2022-10-31
ALOR749783FOPMGR48,46,Malasia,2023-02-12
EKKC420353FRRFJJ75,47,Francia,2023-02-18
JLYZ497306HUVEMB29,48,Japon,2023-04-01
QDMI271645FCFTQK47,49,Malasia,2023-01-18
CTQQ233638HMWDLU07,50,Malasia,2023-02-07
KGBU143794HPYBQD45,51,Japon,2022-10-19
AZQO249439FMTKSW39,52,Francia,2022-12-25
FOGT852627HHYDXR95,53,Malasia,2023-08-04
FMOV897912FQDDBW39,54,Japon,2022-12-30
KHTO593434HFBXJT37,55,EUA,2023-02-26
IDXL734135FWYNHS98,56,EUA,2022-09-15
AQHO978348HFDDNU69,57,Malasia,2023-05-07
GWVB642974HOMZYV12,58,Japon,2023-07-21
AZQO249439FMTKSW39,59,EUA,2022-11-27
KGBU143794HPYBQD45,60,Francia,2023-07-21
GWVB642974HOMZYV12,61,EUA,2022-11-11
KDTW906293HTBTLD56,62,Francia,2022-09-13
DPEA222380HKIGGW97,63,Japon,2023-07-23
FEHM934227HAYTZG56,64,Malasia,2023-04-28
TRGN346462HDKJSY16,65,Japon,2023-01-02
LXJH171498FKMKRS24,66,Japon,2022-11-04
CTQQ233638HMWDLU07,67,Malasia,2023-05-27
FOGT852627HHYDXR95,68,Japon,2023-08-06
BWPO572638HNPFVZ47,69,Japon,2023-02-09
KGBU143794HPYBQD45,70,EUA,2023-01-06
DXEC608571HBOXDS18,71,EUA,2023-05-30
PHDE838001HQKBVN54,72,Malasia,2023-02-07
FMOV897912FQDDBW39,73,Francia,2023-05-28
XBVM827754FDMWCJ40,74,Malasia,2023-07-10
ZIGR227585FCBCZY59,75,Francia,2022-12-10
IDXL734135FWYNHS98,76,Japon,2023-05-06
QOAX489167HEOUHS75,77,Malasia,2023-01-28
PSQM702053HEFEKX52,78,Japon,2023-07-16
GWVB642974HOMZYV12,79,Japon,2022-10-09
GWVB642974HOMZYV12,80,Japon,2022-11-16
EKKC420353FRRFJJ75,81,Francia,2022-11-23
KDTW906293HTBTLD56,82,Francia,2023-02-06
BWPO572638HNPFVZ47,83,Francia,2022-12-23
AQHO978348HFDDNU69,84,Francia,2023-01-01
AQHO978348HFDDNU69,85,Francia,2023-01-23
QSQK278446HMFPGJ32,86,Francia,2023-06-19
QDMI271645FCFTQK47,87,Francia,2023-02-08
QDMI271645FCFTQK47,88,Francia,2023-05-01
IDXL734135FWYNHS98,89,Francia,2023-08-13
FMOV897912FQDDBW39,90,Malasia,2023-02-01
QDMI271645FCFTQK47,91,Francia,2023-06-17
UIXF413717HCUMQZ61,92,Japon,2023-08-01
QSQK278446HMFPGJ32,93,Francia,2023-07-14
SVLI714785HOHQLG66,94,Japon,2023-07-08
SVLI714785HOHQLG66,95,Malasia,2022-10-01
YQAP024400HSYJBM92,96,Malasia,2023-02-19
UIXF413717HCUMQZ61,97,Malasia,2023-03-11
AKNA945264FOYNPA35,98,Francia,2022-11-23
DATM595317FXTPVK64,99,EUA,2023-06-13
UIXF413717HCUMQZ61,100,EUA,2023-04-14
